market,segment_family,segment_value,rows,correct_rows,error_rows,accuracy,avg_confidence,min_confidence,max_confidence,target_distribution,prediction_distribution,main_model,note
1X2,1x2_prediction,TEAM_A_WIN,829,616,213,0.7431,0.6246,0.3448,0.9755,TEAM_A_WIN:616 | DRAW:146 | TEAM_B_WIN:67,TEAM_A_WIN:829,logistic_regression_balanced,Diagnostic par classe predite.
1X2,1x2_prediction,TEAM_B_WIN,668,407,261,0.6093,0.5891,0.3584,0.9763,TEAM_B_WIN:407 | DRAW:137 | TEAM_A_WIN:124,TEAM_B_WIN:668,logistic_regression_balanced,Diagnostic par classe predite.
1X2,1x2_prediction,DRAW,450,146,304,0.3244,0.433,0.3433,0.5409,TEAM_A_WIN:174 | DRAW:146 | TEAM_B_WIN:130,DRAW:450,logistic_regression_balanced,Diagnostic par classe predite.
1X2,actual_total_goals_bucket,goals_4_plus,597,439,158,0.7353,0.6207,0.3433,0.9755,TEAM_A_WIN:341 | TEAM_B_WIN:177 | DRAW:79,TEAM_A_WIN:310 | TEAM_B_WIN:191 | DRAW:96,logistic_regression_balanced,"Segment post-match utilise pour diagnostiquer les erreurs, pas pour predire."
1X2,actual_total_goals_bucket,goals_0_1,537,258,279,0.4804,0.5275,0.3494,0.9502,TEAM_A_WIN:214 | TEAM_B_WIN:165 | DRAW:158,TEAM_A_WIN:192 | TEAM_B_WIN:185 | DRAW:160,logistic_regression_balanced,"Segment post-match utilise pour diagnostiquer les erreurs, pas pour predire."
1X2,actual_total_goals_bucket,goals_2,444,236,208,0.5315,0.55,0.3496,0.9763,DRAW:192 | TEAM_A_WIN:140 | TEAM_B_WIN:112,TEAM_A_WIN:169 | TEAM_B_WIN:160 | DRAW:115,logistic_regression_balanced,"Segment post-match utilise pour diagnostiquer les erreurs, pas pour predire."
1X2,actual_total_goals_bucket,goals_3,369,236,133,0.6396,0.5639,0.3448,0.9544,TEAM_A_WIN:219 | TEAM_B_WIN:150,TEAM_A_WIN:158 | TEAM_B_WIN:132 | DRAW:79,logistic_regression_balanced,"Segment post-match utilise pour diagnostiquer les erreurs, pas pour predire."
1X2,competition_code,WCQ,1819,1116,703,0.6135,0.5758,0.3433,0.9763,TEAM_A_WIN:861 | TEAM_B_WIN:557 | DRAW:401,TEAM_A_WIN:801 | TEAM_B_WIN:618 | DRAW:400,logistic_regression_balanced,
1X2,competition_code,WC,128,53,75,0.4141,0.4588,0.3478,0.822,TEAM_A_WIN:53 | TEAM_B_WIN:47 | DRAW:28,DRAW:50 | TEAM_B_WIN:50 | TEAM_A_WIN:28,logistic_regression_balanced,
1X2,confidence_bucket_1x2,conf_000_045_tres_faible,559,213,346,0.381,0.4137,0.3433,0.45,TEAM_A_WIN:221 | TEAM_B_WIN:173 | DRAW:165,DRAW:310 | TEAM_A_WIN:126 | TEAM_B_WIN:123,logistic_regression_balanced,Diagnostic par niveau de probabilite maximale du modele.
1X2,confidence_bucket_1x2,conf_046_055_faible,516,256,260,0.4961,0.4936,0.45,0.5499,TEAM_A_WIN:224 | TEAM_B_WIN:152 | DRAW:140,TEAM_B_WIN:193 | TEAM_A_WIN:183 | DRAW:140,logistic_regression_balanced,Diagnostic par niveau de probabilite maximale du modele.
1X2,confidence_bucket_1x2,conf_056_065_moyenne,302,217,85,0.7185,0.5999,0.5509,0.6498,TEAM_A_WIN:147 | TEAM_B_WIN:100 | DRAW:55,TEAM_A_WIN:161 | TEAM_B_WIN:141,logistic_regression_balanced,Diagnostic par niveau de probabilite maximale du modele.
1X2,confidence_bucket_1x2,conf_066_075_bonne,268,208,60,0.7761,0.6965,0.65,0.7498,TEAM_A_WIN:145 | TEAM_B_WIN:75 | DRAW:48,TEAM_A_WIN:168 | TEAM_B_WIN:100,logistic_regression_balanced,Diagnostic par niveau de probabilite maximale du modele.
1X2,confidence_bucket_1x2,conf_076_085_forte,189,170,19,0.8995,0.7962,0.7501,0.8499,TEAM_A_WIN:110 | TEAM_B_WIN:64 | DRAW:15,TEAM_A_WIN:117 | TEAM_B_WIN:72,logistic_regression_balanced,Diagnostic par niveau de probabilite maximale du modele.
1X2,confidence_bucket_1x2,conf_086_100_tres_forte,113,105,8,0.9292,0.9017,0.8517,0.9763,TEAM_A_WIN:67 | TEAM_B_WIN:40 | DRAW:6,TEAM_A_WIN:74 | TEAM_B_WIN:39,logistic_regression_balanced,Diagnostic par niveau de probabilite maximale du modele.
1X2,elo_advantage_side,team_a_elo_advantage,1007,664,343,0.6594,0.5898,0.3433,0.9755,TEAM_A_WIN:708 | DRAW:206 | TEAM_B_WIN:93,TEAM_A_WIN:792 | DRAW:175 | TEAM_B_WIN:40,logistic_regression_balanced,
1X2,elo_advantage_side,team_b_elo_advantage,940,505,435,0.5372,0.5449,0.3448,0.9763,TEAM_B_WIN:511 | DRAW:223 | TEAM_A_WIN:206,TEAM_B_WIN:628 | DRAW:275 | TEAM_A_WIN:37,logistic_regression_balanced,
1X2,elo_gap_bucket,abs_elo_151_300_ecart_fort,638,444,194,0.6959,0.6118,0.3874,0.8993,TEAM_A_WIN:311 | TEAM_B_WIN:198 | DRAW:129,TEAM_A_WIN:326 | TEAM_B_WIN:276 | DRAW:36,logistic_regression_balanced,
1X2,elo_gap_bucket,abs_elo_076_150_ecart_moyen,448,241,207,0.5379,0.4976,0.3448,0.8131,TEAM_A_WIN:218 | TEAM_B_WIN:118 | DRAW:112,TEAM_A_WIN:180 | DRAW:154 | TEAM_B_WIN:114,logistic_regression_balanced,
1X2,elo_gap_bucket,abs_elo_026_075_equilibre,365,150,215,0.411,0.4543,0.3478,0.7431,TEAM_A_WIN:147 | TEAM_B_WIN:114 | DRAW:104,DRAW:165 | TEAM_A_WIN:110 | TEAM_B_WIN:90,logistic_regression_balanced,
1X2,elo_gap_bucket,abs_elo_301_plus_ecart_tres_fort,311,267,44,0.8585,0.7945,0.4794,0.9763,TEAM_A_WIN:151 | TEAM_B_WIN:126 | DRAW:34,TEAM_A_WIN:164 | TEAM_B_WIN:147,logistic_regression_balanced,
1X2,elo_gap_bucket,abs_elo_000_025_tres_equilibre,185,67,118,0.3622,0.4326,0.3433,0.6378,TEAM_A_WIN:87 | DRAW:50 | TEAM_B_WIN:48,DRAW:95 | TEAM_A_WIN:49 | TEAM_B_WIN:41,logistic_regression_balanced,
1X2,host_context,team_a_host,1512,925,587,0.6118,0.5724,0.3433,0.9755,TEAM_A_WIN:749 | TEAM_B_WIN:429 | DRAW:334,TEAM_A_WIN:711 | TEAM_B_WIN:410 | DRAW:391,logistic_regression_balanced,
1X2,host_context,neutral_venue,435,244,191,0.5609,0.5532,0.3478,0.9763,TEAM_B_WIN:175 | TEAM_A_WIN:165 | DRAW:95,TEAM_B_WIN:258 | TEAM_A_WIN:118 | DRAW:59,logistic_regression_balanced,
1X2,overall,all_test_rows,1947,1169,778,0.6004,0.5681,0.3433,0.9763,TEAM_A_WIN:914 | TEAM_B_WIN:604 | DRAW:429,TEAM_A_WIN:829 | TEAM_B_WIN:668 | DRAW:450,logistic_regression_balanced,Performance globale sur le test chronologique.
1X2,season_period,test_period_2019_2022,930,561,369,0.6032,0.5642,0.3448,0.9763,TEAM_A_WIN:443 | TEAM_B_WIN:288 | DRAW:199,TEAM_A_WIN:392 | TEAM_B_WIN:312 | DRAW:226,logistic_regression_balanced,
